year,source_ccode,target_ccode,tie
2009,160,439,-384.5070005292009
2010,160,439,-556.1655815946788
2011,160,439,-756.6077413812045
2012,160,439,-765.1428670795294
2013,160,439,-781.5178670795294
2014,160,439,-793.7124201521556
1948,160,450,766.7911021332939
1952,160,450,868.721890492583
1953,160,450,831.134988265876
1954,160,450,828.0373378362301
1955,160,450,859.5926831248416
1956,160,450,798.8853035179163
1957,160,450,780.9067430871528
1958,160,450,775.0011740947548
1959,160,450,768.820809753629
1960,160,450,525.7347180427432
1961,160,450,508.48846867879183
1962,160,450,437.1767290476173
1963,160,450,411.10770821762617
1964,160,450,383.82181368918737
1965,160,450,373.45332425743163
1966,160,450,338.17599300950496
1967,160,450,334.94905670905155
1968,160,450,316.85701648664053
1969,160,450,315.26306543344435
1970,160,450,298.90093535192045
1971,160,450,278.3522170784772
1972,160,450,271.5810651814554
1973,160,450,247.3376236805234
1974,160,450,211.59991753674967
1975,160,450,177.03482973289647
1976,160,450,162.2396155678489
1977,160,450,145.347339219672
1978,160,450,141.47978751818118
1979,160,450,107.26466352670741
1980,160,450,66.45585265259888
1981,160,450,40.45596068116629
1982,160,450,51.10227407077582
1983,160,450,58.02845252869338
1984,160,450,35.256103741525294
1985,160,450,26.15896037336097
1986,160,450,11.927396889784177
1987,160,450,-24.72584049204852
1988,160,450,-57.40738494300058
1989,160,450,-77.07012250640128
1990,160,450,-99.9155972945864
1991,160,450,-123.28408093376493
1992,160,450,-156.00235373166743
1993,160,450,-184.0755405498394
1994,160,450,-246.58928794315852
1995,160,450,-317.66687452679525
1996,160,450,-334.5992324439294
1997,160,450,-374.5220617008172
1998,160,450,-381.44571936215743
1999,160,450,-427.47947100812144
2000,160,450,-528.3508663988823
2001,160,450,-514.0032933077682
2002,160,450,-530.5960409660138
2003,160,450,-602.2410168388478
2004,160,450,-721.5980279089608
2005,160,450,-810.3432024760905
2006,160,450,-923.5728485044356
2007,160,450,-1045.4093472079212
2008,160,450,-1192.627280521997
2009,160,450,-951.63852903733
2010,160,450,-1127.297110102808
2011,160,450,-1328.7392698893354
2012,160,450,-1336.2743955876604
2013,160,450,-1352.6493955876604
2014,160,450,-1364.8439486602865
1961,160,451,783.2688459810997
1962,160,451,711.9571063499252
1963,160,451,685.8880855199341
1964,160,451,658.6021909914953
1965,160,451,648.2337015597395
